競技番号,枝番,種目順,ヒート番号,ステータス,採点終了時刻
001,00,1,1,ヒート表作成済み,
001,00,1,2,ヒート表作成済み,
001,00,2,1,ヒート表作成済み,
001,00,2,2,ヒート表作成済み,
001,00,3,1,ヒート表作成済み,
001,00,3,2,ヒート表作成済み,
001,00,4,1,ヒート表作成済み,
001,00,4,2,ヒート表作成済み,
001,00,5,1,ヒート表作成済み,
001,00,5,2,ヒート表作成済み,
002,00,1,1,ヒート表作成済み,
002,00,1,2,ヒート表作成済み,
002,00,1,3,ヒート表作成済み,
002,00,1,4,ヒート表作成済み,
002,00,1,5,ヒート表作成済み,
002,00,1,6,ヒート表作成済み,
002,00,2,1,ヒート表作成済み,
002,00,3,1,ヒート表作成済み,
002,00,4,1,ヒート表作成済み,
002,00,4,2,ヒート表作成済み,
002,00,4,3,ヒート表作成済み,
002,00,4,4,ヒート表作成済み,
002,00,4,5,ヒート表作成済み,
002,00,4,6,ヒート表作成済み,
002,00,5,1,ヒート表作成済み,
