,,,,,,,,,,,,,,
,13,Quickstep,G,,,,,,,,,,,
,1,1,12,小嶋　みなと,盛田　めぐみ,神奈川県,28.500,7.100,7.150,7.100,7.150,0,,
,2,2,38,大西　大晶,大西　咲菜,東洋大学/富山県,27.600,6.800,7.000,6.800,7.000,0,,
,2,3,14,菅原　一樹,Laura　Collavizza,東京都,26.900,6.700,6.750,6.700,6.750,0,,
,2,4,80,棚橋　健,盛田　舞香,東京都,26.100,6.650,6.400,6.650,6.400,0,,
,2,5,34,五月女　光政,五月女　叡佳,ブルボンＤＳＴ,25.700,6.400,6.450,6.400,6.450,0,,
,2,6,74,山田　恭平,秋山　彩織,東京都,25.200,6.450,6.150,6.450,6.150,0,,
,2,7,39,日比野　湧,和野　歩未,ブルボンＤＳＴ,24.900,6.300,6.150,6.300,6.150,0,,
,2,8,52,石垣　和宏,三喜　穂菜美,ブルボンＤＳＴ,24.500,6.150,6.100,6.150,6.100,0,,
,1,9,53,佐藤　祐馬,久保田　理沙,東京都,24.300,6.100,6.050,6.100,6.050,0,,
,1,10,47,吉田　逸平,馬場　えりな,慶應義塾大学,24.100,5.900,6.150,5.900,6.150,0,,
,1,11,81,藤森　春樹,金山　咲月,東京都,23.900,6.150,5.800,6.150,5.800,0,,
,1,12,59,熊谷　光晃,粕尾　明日香,東京都,23.700,6.000,5.850,6.000,5.850,0,,
,1,13,75,岩﨑　将之,冨岡　采花,神奈川県,23.400,5.800,5.900,5.800,5.900,0,,
